ID,User,DateCreated,Text
9979z1;scott_zoloft;1534916068.0;Another fucking spider in my nose
9979z1;scott_zoloft;1534916068.0;""

e4lhcae;sweetb00bs;1534916901.0;"Put it back"
e4lj4wc;Doc_StockandBarrel;1534918534.0;"How many does that make it now?"
e4lkhve;BenadrylPeppers;1534919815.0;"Why are you destroying that fragile ecosystem?"
e4mfeb6;scott_zoloft;1534958865.0;"lol can you imagine posting on this website lmao"
e4lsfcp;StealtHigh;1534927655.0;"Maybe if you didn't keep all those gnats up there, the spiders wouldn't be tempted to reside in there."
e4lmln9;ChaosCowboy;1534921835.0;"You don't want that."
e4m8rtm;Argorash;1534945814.0;"You should call pest control and have yourself flushed out. "
