ID,User,DateCreated,Text
9ajj5p;imscreamingrightnow;1535350702.0;Dick on Twitter: "Did anyone catch this!? Apparently, Maddox is advertising my show on his dodgy website. @maddoxrules, I didn’t give you permission to use my logo to shill your crappy network! Consider yourself on notice!"
9ajj5p;imscreamingrightnow;1535350702.0;""

e4vwc6y;tommy_twofeet;1535351458.0;"I'd like to know where these screenshots are coming from, and more importantly I'd like to see the archives. As much as I want to see Maddox go down in flames I have to still take all of these website shenanigans with a huge grain of salt. It is incredibly easy to fake all of this with just a saved copy of his site then editing it and posting screenshots. That's why we need to start seeing archives before going on a witch hunt. Last thing we need to do is get trolled by one of Maddox's cronies."
e4wleur;EBP_ReviewThePS2;1535383151.0;"Im in the camp of these weird changes being some sort of false flag perpetrated by Maddox so he can fabricate evidence that Dick is doing nefarious things. Its entirely within his character."
e4wbojc;naught_so_clever;1535368207.0;"A wild different Screenshot_20180826-160801_Chrome.jpg appeared. https://s15.postimg.cc/qjq59jiej/Screenshot_20180826-160753_Chrome.jpghttps://s15.postimg.cc/w7wg0awzv/Screenshot_20180826-160801_Chrome.jpg"
e4vwhr6;tomnorthwales;1535351623.0;"Whatever it was it isn't there now. No new shows since that Zach Waldman thing from the other day. Wonder if Jesse was fucking around or something... "
e4wbp1c;Stiffalis420;1535368221.0;"I don't know if these are real or fake."
e4wlggn;AlexWyvern;1535383248.0;"Are Americans saying dodgy now? That's cultural appropriation."
e4x38r8;MacChuck234;1535410502.0;"Clearly the work of the hacker known as "4 Chan.""
e4x4012;UghImAWriter;1535411206.0;"lol @ maddox faking hack attempts"
e4wiey9;rusted-nail;1535377469.0;"/u/dickmasterson it would be a good idea to try and keep an eye on how many people got free access to the livestream from this horseshit considering you're now talking about suing George. I'm sure youre already doing that though"
e4wphvj;buffer_overfl0w;1535392265.0;"I imagine that Maddox is going through server logs and I wouldn't be surprised if he isn't filtering content by IP or doing some sort of geo-fencing. "
e4x3emk;MacChuck234;1535410651.0;"Maddox, you dumb son of a bitch. You pulled something similar and everyone immediately figured it out last week. But you are just barreling full speed ahead. YOU FUCKING RETARD. WHY????"
e4yc8fc;Lospantaloons;1535452078.0;"Oh man, he really burned Dick with the "err's, umm's and standstills" comment! PWN3D!!!!!"
