ID,User,DateCreated,Text
99pnva;Hazencruz;1535076118.0;Don't forget to downvote the new hazencruz song.
99pnva;Hazencruz;1535076118.0;""

e4pk521;StopCollaborate230;1535079604.0;"Can diddly-do"
e4prkio;SGDove;1535085795.0;"Mayonnaise."
e4pjmu2;johnnysteen;1535079194.0;"Fuck off Hazencruz"
e4ppf5t;ShawnGalt;1535083986.0;"fuck off Hazencruz"
e4s7eoa;Hazencruz;1535182865.0;"thanks guys! I always know i can count on you!"
e4q3a7x;ROSCO577;1535097052.0;""song" "
e4pgdir;kaizervonmaanen;1535076566.0;"It's my favourite tbh"
e4pjnas;AlexWyvern;1535079204.0;"Duly noted "
e4pgkaf;Hazencruz;1535076719.0;"DOWNVOTED"
